correct_binary,user,order,treatment,q_correct_inmediato,user_responded_correctly,treatment_group,previous_treatment,self_assestment_expertise_score,bimbo_question_correct,q_supermercador_trip,weighted_expertise_score,all_treatments_q_correct,con_incons_q_correct,expert_weighted,expert_inmediato,expert_self_assestment,imagen,percentaje_difference,price_cheap,price_expensive,price_difference,q_correct_inmediato,q_correct_consciente,q_correct_inconsciente
1,10_Experimento_2019_Oct_10_1324.csv,1,consciente,4,True,c,,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_abswm_266.45_236.49.jpg,12.668611780624966,236.49,266.45,29.95999999999998,4,3,4
1,10_Experimento_2019_Oct_10_1324.csv,2,inconsciente,4,True,c,consciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_gvywe_210.79_240.75.jpg,14.213197969543153,210.79,240.75,29.960000000000008,4,3,4
0,10_Experimento_2019_Oct_10_1324.csv,3,inconsciente,4,False,c,inconsciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_jygaf_77.05_87.65.jpg,13.7573004542505,77.05,87.65,10.600000000000009,4,3,4
1,10_Experimento_2019_Oct_10_1324.csv,4,consciente,4,True,c,inconsciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_ljgfg_307.65_264.19.jpg,16.45028199401945,264.19,307.65,43.45999999999998,4,3,4
1,10_Experimento_2019_Oct_10_1324.csv,5,consciente,4,True,c,consciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_ncziq_135.89_160.49.jpg,18.10287732725,135.89,160.49,24.600000000000023,4,3,4
0,10_Experimento_2019_Oct_10_1324.csv,6,consciente,4,False,c,consciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_dfaek_105.39_93.89.jpg,12.248375758866759,93.89,105.39,11.5,4,3,4
1,10_Experimento_2019_Oct_10_1324.csv,7,inconsciente,4,True,c,consciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_bezyx_283.55_249.3.jpg,13.738467709586843,249.3,283.55,34.25,4,3,4
0,10_Experimento_2019_Oct_10_1324.csv,8,consciente,4,False,c,inconsciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_kvzop_46.65_40.55.jpg,15.043156596794086,40.55,46.65,6.100000000000001,4,3,4
1,10_Experimento_2019_Oct_10_1324.csv,9,inconsciente,4,True,c,consciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_cnlsi_99.4_113.99.jpg,14.678068410462764,99.4,113.99,14.58999999999999,4,3,4
1,10_Experimento_2019_Oct_10_1324.csv,10,inconsciente,4,True,c,inconsciente,2,False,0,4.0,11,7,0,1,0,./completed_changuitos/montage_vdawy_364.89_435.49.jpg,19.348296746964845,364.89,435.49,70.60000000000002,4,3,4
