imagen,correcta
./completed_changuitos/montage_jcnfb_51.2_59.15.jpg,right
./completed_changuitos/montage_eemdm_995.0_865.0.jpg,left
./completed_changuitos/montage_gerhz_725.89_619.0.jpg,left
./completed_changuitos/montage_gisxa_69.9_60.99.jpg,left
./completed_changuitos/montage_ggvmq_29.45_34.15.jpg,right
./completed_changuitos/montage_ykojr_139.59_119.85.jpg,left
./completed_changuitos/montage_pkrlx_169.0_148.75.jpg,left
./completed_changuitos/montage_vsivv_119.85_137.5.jpg,right
./completed_changuitos/montage_ngvgs_58.85_66.35.jpg,right
./completed_changuitos/montage_oswyz_344.55_294.25.jpg,left
./completed_changuitos/montage_csojv_39.59_35.0.jpg,left
./completed_changuitos/montage_pnyeg_174.65_203.85.jpg,right
./completed_changuitos/montage_zzdge_39.59_44.69.jpg,right
./completed_changuitos/montage_gvtsp_63.65_54.79.jpg,left
./completed_changuitos/montage_eirxh_96.85_113.99.jpg,right
./completed_changuitos/montage_voxxw_96.19_84.55.jpg,left
./completed_changuitos/montage_weksd_579.0_509.35.jpg,left
./completed_changuitos/montage_ghhqy_499.15_438.9.jpg,left
./completed_changuitos/montage_oqdpx_64.9_73.5.jpg,right
./completed_changuitos/montage_auoot_55.65_64.75.jpg,right
./completed_changuitos/montage_xkfku_23.55_27.39.jpg,right
./completed_changuitos/montage_dxeto_199.9_233.25.jpg,right
./completed_changuitos/montage_qymbc_59.9_67.95.jpg,right
./completed_changuitos/montage_rxxuf_22.82_26.07.jpg,right
./completed_changuitos/montage_gemym_213.99_245.69.jpg,right
./completed_changuitos/montage_tfanv_50.85_44.95.jpg,left
./completed_changuitos/montage_dnfcr_90.95_79.19.jpg,left
./completed_changuitos/montage_mwfkp_112.35_131.6.jpg,right
./completed_changuitos/montage_jbcck_191.55_166.85.jpg,left
./completed_changuitos/montage_lceqc_146.19_171.09.jpg,right
./completed_changuitos/montage_jbcut_128.95_148.75.jpg,right
./completed_changuitos/montage_ejiim_131.6_116.65.jpg,left
./completed_changuitos/montage_qesyu_188.25_164.79.jpg,left
./completed_changuitos/montage_vbbut_139.0_119.85.jpg,left
./completed_changuitos/montage_bjlka_28.9_33.5.jpg,right
./completed_changuitos/montage_dfaek_105.39_93.89.jpg,left
./completed_changuitos/montage_bpbms_304.95_266.45.jpg,left
./completed_changuitos/montage_gemxx_90.85_79.0.jpg,left
./completed_changuitos/montage_ttosj_58.85_51.4.jpg,left
./completed_changuitos/montage_poznq_131.89_151.79.jpg,right
./completed_changuitos/montage_awuhb_67.3_75.99.jpg,right
./completed_changuitos/montage_snfwb_296.39_255.75.jpg,left
./completed_changuitos/montage_msbiz_110.75_128.29.jpg,right
./completed_changuitos/montage_tmfes_86.69_99.0.jpg,right
./completed_changuitos/montage_egacw_149.79_171.19.jpg,right
./completed_changuitos/montage_zulqg_131.6_148.75.jpg,right
./completed_changuitos/montage_hpknr_139.09_160.49.jpg,right
./completed_changuitos/montage_xnjyz_176.55_151.69.jpg,left
./completed_changuitos/montage_vnega_160.49_141.79.jpg,left
./completed_changuitos/montage_hmghc_70.65_62.05.jpg,left
./completed_changuitos/montage_yqsji_21.95_25.9.jpg,right
./completed_changuitos/montage_ydaal_294.25_345.5.jpg,right
./completed_changuitos/montage_ecnrg_128.49_150.79.jpg,right
./completed_changuitos/montage_kbzhy_62.05_70.65.jpg,right
./completed_changuitos/montage_cqtwc_98.45_113.35.jpg,right
./completed_changuitos/montage_yfuxc_268.59_319.95.jpg,right
./completed_changuitos/montage_wtbet_46.99_54.59.jpg,right
./completed_changuitos/montage_lnays_125.19_110.1.jpg,left
./completed_changuitos/montage_irujz_224.59_256.79.jpg,right
./completed_changuitos/montage_pgkgs_59.0_68.39.jpg,right
./completed_changuitos/montage_tukly_58.75_65.19.jpg,right
./completed_changuitos/montage_bfrml_95.75_83.99.jpg,left
./completed_changuitos/montage_cpmfo_390.0_341.35.jpg,left
./completed_changuitos/montage_okgzx_115.55_100.05.jpg,left
./completed_changuitos/montage_arjki_62.05_55.65.jpg,left
./completed_changuitos/montage_ayzuc_233.25_199.9.jpg,left
./completed_changuitos/montage_ritre_124.15_146.49.jpg,right
./completed_changuitos/montage_nynjt_31.67_35.95.jpg,right
./completed_changuitos/montage_wnbii_300.69_262.15.jpg,left
./completed_changuitos/montage_nugmq_27.29_23.55.jpg,left
./completed_changuitos/montage_gbilp_207.49_232.19.jpg,right
./completed_changuitos/montage_ftwmd_46.0_40.35.jpg,left
./completed_changuitos/montage_mtbfh_61.55_53.49.jpg,left
./completed_changuitos/montage_tacrp_112.25_126.25.jpg,right
./completed_changuitos/montage_stlyl_108.09_125.19.jpg,right
./completed_changuitos/montage_ysaxu_57.05_66.05.jpg,right
./completed_changuitos/montage_tvygo_73.3_66.25.jpg,left
./completed_changuitos/montage_fgvro_157.29_179.75.jpg,right
./completed_changuitos/montage_opoko_67.4_57.79.jpg,left
./completed_changuitos/montage_dgzhn_150.89_133.95.jpg,left
./completed_changuitos/montage_nsxnf_57.79_67.4.jpg,right
./completed_changuitos/montage_pckfs_28.45_32.09.jpg,right
./completed_changuitos/montage_jrrxt_32.55_37.45.jpg,right
./completed_changuitos/montage_zymus_146.59_126.99.jpg,left
./completed_changuitos/montage_noqou_90.95_80.25.jpg,left
./completed_changuitos/montage_rqola_402.85_469.9.jpg,right
./completed_changuitos/montage_kufts_88.85_76.49.jpg,left
./completed_changuitos/montage_yzfoz_77.05_64.95.jpg,left
./completed_changuitos/montage_urlbn_569.0_659.0.jpg,right
./completed_changuitos/montage_ddsgj_226.29_198.49.jpg,left
./completed_changuitos/montage_xxddk_61.55_69.0.jpg,right
./completed_changuitos/montage_rcrca_74.89_88.95.jpg,right
./completed_changuitos/montage_pmchz_73.85_84.55.jpg,right
./completed_changuitos/montage_qutcx_384.15_334.9.jpg,left
./completed_changuitos/montage_yfiqs_192.59_171.09.jpg,left
./completed_changuitos/montage_rztrg_92.05_79.7.jpg,left
./completed_changuitos/montage_unedg_83.45_72.75.jpg,left
./completed_changuitos/montage_oebdv_64.09_74.89.jpg,right
./completed_changuitos/montage_gauef_51.35_57.79.jpg,right
./completed_changuitos/montage_ywzlj_71.9_62.05.jpg,left
./completed_changuitos/montage_srenq_108.09_122.55.jpg,right
./completed_changuitos/montage_fazfn_29.95_33.95.jpg,right
./completed_changuitos/montage_xjbgj_46.0_52.45.jpg,right
./completed_changuitos/montage_ohgap_119.99_105.19.jpg,left
./completed_changuitos/montage_vrmgd_46.99_55.45.jpg,right
./completed_changuitos/montage_fuuvx_48.49_57.05.jpg,right
./completed_changuitos/montage_hkkzs_96.19_109.89.jpg,right
./completed_changuitos/montage_ohahd_179.75_153.55.jpg,left
./completed_changuitos/montage_fosxd_22.82_25.59.jpg,right
